Spanish Name,English Translation,Dutch Translation,Description,Dutch Description,Price Range,Pork,Other Meat,Fish/Seafood,Dairy,Vegetarian,Google Search
Aceitunas,Olives,Olijven,Marinated olives served as appetizer,"Olijven, vaak geserveerd als tapas",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=spanish%20aceitunas&tbm=isch
Agua de Valencia,Valencia Water,Valencia Water,"Cocktail with cava, orange juice, vodka and gin","Cocktail met cava, sinaasappelsap en gin uit Valencia",€6-8,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=agua%20de%20valencia%20cocktail&tbm=isch
Aguacate,Avocado,Avocado,Fresh avocado slices or guacamole,"Avocado, vaak geserveerd in salades of als guacamole",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=aguacate%20spanish&tbm=isch
Ajoblanco,White Garlic Soup,Witte Knoflooksoep,"Cold soup with bread, almonds, garlic, olive oil and sometimes grapes","Koude soep van amandelen, knoflook en brood uit Andalusië",€4-6,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=ajoblanco%20soup&tbm=isch
Ajo Blanco,White Gazpacho,Witte Gazpacho,Cold almond soup from Andalusia,Witte gazpacho met amandelen en druiven,€5-7,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=ajo%20blanco&tbm=isch
Albóndigas,Meatballs,Gehaktballen,Meatballs typically made with beef and pork in tomato sauce,"Gehaktballen in tomatensaus, klassieke Spaanse tapas",€8-10,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=albondigas%20spanish&tbm=isch
Alioli,Garlic Mayonnaise,Knoflookmayonaise,Garlic sauce with olive oil and sometimes egg,"Romige knoflookmayonaise, perfect bij vis en groenten",€2-3,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=alioli%20sauce&tbm=isch
Almejas,Clams,Venusschelpen,Steamed clams in white wine sauce,"Venusschelpen, vaak gestoomd met witte wijn en knoflook",€9-13,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=almejas%20spanish&tbm=isch
Anchoas,Anchovies,Ansjovis,Cured anchovy fillets in olive oil,"Ansjovis, gezouten vis gebruikt in salades en op toast",€6-8,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=anchoas%20spanish&tbm=isch
Angulas,Baby Eels,Glasaaltjes,"Expensive delicacy, usually sautéed with garlic","Glasaaltjes, delicatesse vooral populair in Baskenland",€20-35,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=angulas%20spanish&tbm=isch
Arroz con Leche,Rice Pudding,Rijstpudding,"Sweet dessert with rice, milk, cinnamon and lemon","Rijstpudding met kaneel, traditioneel Spaans dessert",€4-5,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=arroz%20con%20leche&tbm=isch
Arroz con Pollo,Chicken Rice,Kippenrijst,Rice dish with chicken and vegetables,"Rijstgerecht met kip en groenten, comfort food",€10-13,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=arroz%20con%20pollo&tbm=isch
Arroz Negro,Black Rice,Zwarte Rijst,"Rice cooked with squid ink, seafood, and vegetables","Zwarte rijst gekleurd met inktvisinkt, specialiteit uit Valencia",€12-15,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=arroz%20negro&tbm=isch
Asado de Cordero,Roast Lamb,Geroosterd Lamsvlees,Slow-roasted lamb with herbs,Langzaam geroosterd lamsvlees met kruiden,€16-22,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=asado%20cordero&tbm=isch
Atún,Tuna,Tonijn,"Tuna served in various ways, often as tapas","Tonijn, vaak gegriald of in tartaar",€8-12,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=atun%20spanish%20tapa&tbm=isch
Bacalao,Codfish,Kabeljauw,Salted codfish prepared in various ways,"Kabeljauw, vaak gezouten en gebruikt in traditionele gerechten",€10-14,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=bacalao%20spanish&tbm=isch
Berenjenas con Miel,Eggplant with Honey,Aubergine met Honing,Fried eggplant slices drizzled with honey,"Gefrituurde aubergine met honing, Andalusische specialiteit",€6-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=berenjenas%20con%20miel&tbm=isch
Besugo,Sea Bream,Zeebrasem,Grilled or baked sea bream,"Zeebrasem, populaire vis vaak heel gegrild",€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=besugo%20pescado&tbm=isch
Bistec,Steak,Biefstuk,Grilled beef steak,"Biefstuk, meestal gegriild en eenvoudig bereid",€14-20,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=bistec%20spanish&tbm=isch
Bocadillo,Sandwich,Broodje,Baguette sandwich with various fillings,Spaans broodje op stokbrood met verschillende vullingen,€3-6,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=bocadillo%20spanish&tbm=isch
